protocol,region,evaluation_group,rank,count,frequency,frequency_relative_to_uniform
R+A+S,strict_conus,surface_targeted_variables,12,81316,0.046980059646580724,0.7986610139918723
R+A+S,strict_conus,surface_targeted_variables,13,89213,0.05154252620948406,0.876222945561229
R+A+S,strict_conus,surface_targeted_variables,14,102618,0.05928722220488982,1.007882777483127
R+A+S,strict_conus,surface_targeted_variables,15,126485,0.07307630533225641,1.242297190648359
R+A+S,strict_conus,surface_targeted_variables,16,241695,0.13963851537557587,2.3738547613847896
R+A+S,strict_conus,aircraft_targeted_variables,0,384218,0.11099036202770643,1.8868361544710093
R+A+S,strict_conus,aircraft_targeted_variables,1,234657,0.06778616666146695,1.152364833244938
R+A+S,strict_conus,aircraft_targeted_variables,2,200727,0.057984692020507704,0.985739764348631
R+A+S,strict_conus,aircraft_targeted_variables,3,182609,0.05275088366374674,0.8967650222836945
R+A+S,strict_conus,aircraft_targeted_variables,4,172812,0.04992079091227377,0.8486534455086541
R+A+S,strict_conus,aircraft_targeted_variables,5,165795,0.04789376622746354,0.8141940258668802
R+A+S,strict_conus,aircraft_targeted_variables,6,161530,0.04666172115396837,0.7932492596174623
R+A+S,strict_conus,aircraft_targeted_variables,7,157882,0.045607910971527485,0.7753344865159673
R+A+S,strict_conus,aircraft_targeted_variables,8,157919,0.04561859928752263,0.7755161878878848
R+A+S,strict_conus,aircraft_targeted_variables,9,157916,0.04561773266730681,0.7755014553442158
R+A+S,strict_conus,aircraft_targeted_variables,10,159828,0.0461700586181914,0.7848909965092539
R+A+S,strict_conus,aircraft_targeted_variables,11,164453,0.04750609811758534,0.8076036679989508
R+A+S,strict_conus,aircraft_targeted_variables,12,170033,0.04911801171901631,0.8350061992232772
R+A+S,strict_conus,aircraft_targeted_variables,13,180295,0.052082430603941854,0.8854013202670115
R+A+S,strict_conus,aircraft_targeted_variables,14,197632,0.057090628831183536,0.9705406901301201
R+A+S,strict_conus,aircraft_targeted_variables,15,232368,0.06712493543679392,1.1411239024254967
R+A+S,strict_conus,aircraft_targeted_variables,16,381050,0.11007521107979723,1.871278588356553
